File,ConfigID,Presolver,Scaling,Pricing,Ratio,Precision,ExitCode,TimeSeconds,Status,Iterations,Difficulty
b1c1s1_LP,C7,1,2,0,3,25,0,1.525326268,optimal,2485,easy
b1c1s1_LP,C8,,,,,,0,0.296,optimal,-1,easy
bab2_LP,C1,0,0,0,1,100,124,750.0843783,timeout,-2,hard
bab2_LP,C2,1,2,0,3,100,124,750.1293823,timeout,-2,hard
bab2_LP,C3,2,2,5,3,100,0,742.679335,timeout,-2,hard
bab2_LP,C4,1,4,3,3,100,124,750.1327588,timeout,-2,hard
bab2_LP,C5,1,2,0,3,100,124,750.1307133,timeout,-2,hard
bab2_LP,C6,1,2,0,3,50,124,750.1204233,timeout,-2,hard
bab2_LP,C7,1,2,0,3,25,124,750.1196901,timeout,-2,hard
bab2_LP,C8,,,,,,0,546.656,optimal,-1,hard
bab6_LP,C1,0,0,0,1,100,124,750.0714333,timeout,-2,hard
bab6_LP,C2,1,2,0,3,100,124,750.1058114,timeout,-2,hard
bab6_LP,C3,2,2,5,3,100,0,745.9199455,optimal,4714,hard
bab6_LP,C4,1,4,3,3,100,124,750.1143869,timeout,-2,hard
bab6_LP,C5,1,2,0,3,100,124,750.1119277,timeout,-2,hard
bab6_LP,C6,1,2,0,3,50,124,750.0980635,timeout,-2,hard
bab6_LP,C7,1,2,0,3,25,124,750.0968956,timeout,-2,hard
bab6_LP,C8,,,,,,0,448.234,optimal,-1,hard
beasleyC3_LP,C1,0,0,0,1,100,0,1.539331848,optimal,1031,easy
beasleyC3_LP,C2,1,2,0,3,100,0,5.810677498,optimal,819,easy
beasleyC3_LP,C3,2,2,5,3,100,0,0.82312144,optimal,377,easy
beasleyC3_LP,C4,1,4,3,3,100,0,5.907563828,optimal,838,easy
beasleyC3_LP,C5,1,2,0,3,100,0,5.755407176,optimal,819,easy
beasleyC3_LP,C6,1,2,0,3,50,0,2.931888091,optimal,929,easy
beasleyC3_LP,C7,1,2,0,3,25,0,2.923097591,optimal,929,easy
beasleyC3_LP,C8,,,,,,0,0.031,optimal,-1,easy
binkar10_1_LP,C1,0,0,0,1,100,0,0.795059661,optimal,1370,easy
binkar10_1_LP,C2,1,2,0,3,100,0,1.364313015,optimal,1298,easy
binkar10_1_LP,C3,2,2,5,3,100,0,0.675079974,optimal,640,easy
binkar10_1_LP,C4,1,4,3,3,100,0,1.35439691,optimal,1349,easy
binkar10_1_LP,C5,1,2,0,3,100,0,1.329462542,optimal,1298,easy
binkar10_1_LP,C6,1,2,0,3,50,0,0.680888604,optimal,1307,easy
binkar10_1_LP,C7,1,2,0,3,25,0,0.693163995,optimal,1307,easy
binkar10_1_LP,C8,,,,,,0,0.046,optimal,-1,easy
blp-ar98_LP,C1,0,0,0,1,100,0,117.4307345,optimal,3604,easy
blp-ar98_LP,C2,1,2,0,3,100,0,13.09450694,optimal,387,easy
blp-ar98_LP,C3,2,2,5,3,100,0,6.059081621,optimal,355,easy
blp-ar98_LP,C4,1,4,3,3,100,0,13.59570612,optimal,468,easy
blp-ar98_LP,C5,1,2,0,3,100,0,13.47097541,optimal,387,easy
blp-ar98_LP,C6,1,2,0,3,50,0,5.904246845,optimal,329,easy
blp-ar98_LP,C7,1,2,0,3,25,0,5.818655062,optimal,329,easy
blp-ar98_LP,C8,,,,,,0,0.515,optimal,-1,easy
blp-ic98_LP,C1,0,0,0,1,100,0,22.46515513,optimal,634,easy
blp-ic98_LP,C2,1,2,0,3,100,0,15.33752168,optimal,291,easy
blp-ic98_LP,C3,2,2,5,3,100,0,7.019967058,optimal,208,easy
blp-ic98_LP,C4,1,4,3,3,100,0,15.77291987,optimal,285,easy
blp-ic98_LP,C5,1,2,0,3,100,0,15.61291515,optimal,291,easy
blp-ic98_LP,C6,1,2,0,3,50,0,7.316476333,optimal,268,easy
blp-ic98_LP,C7,1,2,0,3,25,0,7.436416539,optimal,268,easy
blp-ic98_LP,C8,,,,,,0,0.468,optimal,-1,easy
bnatt400_LP,C1,0,0,0,1,100,0,1.048532581,optimal,1026,easy
bnatt400_LP,C2,1,2,0,3,100,0,2.744131489,optimal,865,easy
bnatt400_LP,C3,2,2,5,3,100,0,2.141280763,optimal,825,easy
bnatt400_LP,C4,1,4,3,3,100,0,2.704466319,optimal,865,easy
bnatt400_LP,C5,1,2,0,3,100,0,2.696479771,optimal,865,easy
bnatt400_LP,C6,1,2,0,3,50,0,1.32355421,optimal,785,easy
bnatt400_LP,C7,1,2,0,3,25,0,1.306328545,optimal,785,easy
bnatt400_LP,C8,,,,,,0,0.109,optimal,-1,easy
